ID,Name,Element,Type,Duration,Cost,Attack,Health,Text
190,Spirit Blade,Spirit,Item,Equipment,1s,,,"Equip to a friendly creature. It has +X / +0, where X is the amount of [Spirit] in your mana pool."
191,Twilight Forest,Earth,Spell,Field,"1e,1r",,,[Earth] creatures take no damage from spells.
192,Reforestation,Earth,Spell,,1e,,,Destroy all spells.
193,Photosynthesis,Earth,Spell,,1e,,,<Heal> 1 for each [Earth] creature you control.
194,Grasping Vine,Earth,Spell,,,,,Select an item equipped to an enemy creature. Take control of it and equip it to a friendly creature.
195,Twilight Fortification,Earth,Spell,,3e,,,Your creatures have +0 / +2.
196,Translocate Cows,Earth,Spell,,1e,,,Summon 2 1 / 1 [Earth] Cow creature tokens.
197,Sanguine Rose,Earth,Item,Permanent,3e,,,"Whenever you draw an [Earth] card, you may reveal it to <heal> 1."
198,Staff of The Sage,Earth,Item,Equipment,2e,,,Equip to a friendly creature. It gains +2 / +1 and <ranged>.
199,Lava Imp,Fire,Creature,,,1,1,"If you <burn> this card, summon it."
200,Ashen Swordsman,Fire,Creature,,1f,2,1,"If you <burn> this card, summon it."
201,Ash Dancer,Fire,Creature,,1r,1,3,<Ready>.
202,Novice Firemage,Fire,Creature,,1f,2,1,<Ranged>.
203,Mageslayer,Fire,Creature,,2r,3,1,Destroy a spell.
204,Night of the Soulless,Fire,Spell,Field,1f,,,Tokens have +1 / +0.
205,Poisonous Bee,Water,Creature,,1w,1,1,"When this is attacked and destroyed by an enemy creature, destroy that creature."
206,Elemental Familiar,Water,Creature,,,1,1,"When this is destroyed, <search> for a [Water] spell."
207,Gifted Wanderer,Water,Creature,,1w,1,1,Destroy an enemy creature with 2 or less attack.
208,Sea Snake,Water,Creature,,,0,1,"When this enters the battlefield, deal 1 damage to your opponent."
209,Healing Touch,Water,Spell,Reaction,,,,Restore a friendly creature to full health.
210,Relic of the Deep,Water,Item,Permanent,1w,,,"At the end of your turn, you may pay [Water] to return an enemy creature to its owner's hand."
211,Aquamarine Tiara,Water,Item,Equipment,,,,"Equip to a friendly creature. It gains ""<ranged>""."
212,Horn of Reflection,Water,Item,,,,,Summon 2 0 / 1 [Water] Mirror Image creature tokens.
213,Bracelet of Deflection,Water,Item,Permanent,2w,,,"Once per turn, when an enemy creature declares an attack you may cancel the attack."
214,Electric Sprite,Air,Creature,,,1,1,The next [Air] spell you play this turn costs [Air] less.
215,Petal Dancer,Air,Creature,,1a,1,2,Return an [Air] spell from your mana pool to your hand.
216,Stormchaser,Air,Creature,,,1,2,"When this is destroyed, <search> for an [Air] creature."
217,Enraged Sky Serpent,Air,Creature,,1r,3,1,<Ready>.
218,Disenchant,Air,Spell,,1a,,,Destroy an item to draw a card.
219,Disorient,Air,Spell,Reaction,1a,,,Cast when your opponent plays a card. Cancel its effect and shuffle the card into your opponent's deck. They do not pay its mana cost.
220,Lightning Bolt,Air,Spell,,1a,,,Deal 3 damage to an enemy.
221,Seal Spells,Air,Spell,Permanent,1a,,,"Both players set aside their hands. When this leaves the battlefield, they add the set aside cards back to their hands."
222,Demonic Chain,Air,Item,Permanent,"1a,1r",,,"At the end of your turn, summon a [Fire] creature from your mana pool"
223,Ring of Shielding,Air,Item,Equipment,,,,"Equip to a friendly creature. The first time it would take damage, destroy this to reduce the damage to 0."
224,Pearl of Spell Storing,Air,Item,,1a,,,<Search> for an [Air] spell. The next [Air] spell you cast this turn costs [Air] less.
225,Magic Mirror,Air,Item,,1a,,,Play when your opponent casts a spell targeting you. Change its target to your opponent.
226,Astral Huntress,Spirit,Hero,,4s,,,"Whenever an enemy creature is destroyed, <search> for a card."
227,Summoning Stone,Spirit,Item,Permanent,"1s,1r",,,"Whenever you cast a spell, <search> for a 0 cost creature. Summon it."
228,Oil of Etherealness,Spirit,Item,Equipment,,,,"Equip to a friendly creature. It gains ""<ethereal>""."
229,Will-o'-the-wisp,Spirit,Creature,,,1,1,"When this is destroyed, <search> for a [Spirit] item."
230,Mana Scavenger,Spirit,Creature,,,2,2,You can only play this card if you control a [Spirit] permanent spell.
231,Animate Memory,Spirit,Creature,,,0,2,"Your other creatures cannot be targeted with attacks. When this is destroyed, you may put it on the top of your deck."
232,Guardian Stone,Spirit,Creature,,1s,2,2,
233,Mind Snake,Spirit,Creature,,1s,2,1,<Ethereal>.
234,Mind Breaker,Spirit,Creature,,2s,1,2,Name a non-Hero card. Your opponent must discard a copy of that card if they're holding one.
235,Spirit Militia,Spirit,Creature,,2r,2,3,
236,Manifest Dreams,Spirit,Spell,,"1s,2r",,,"Privately view the top 3 cards of your deck. Summon them face down as 1 / 1 [Spirit] Dream creature tokens. When one is destroyed, add it to your hand."
237,Bend Fate,Spirit,Spell,,"1s,1r",,,View the top 3 cards of your opponent's deck and put them back in any order. View the top 3 cards of your deck and put them back in any order.
238,Detect Magic,Spirit,Spell,,,,,Your opponent reveals the number of spells in their hand.
239,Locate Creature,Spirit,Spell,,,,,<Search> for a creature.
240,Resurrection,Spirit,Spell,,"2s,1r",,,Summon a creature from your mana pool or exile pile.
241,Mind Blank,Spirit,Spell,Permanent,"1s,1r",,,Your opponent cannot view cards in your hand and deck by any means.
242,Gate,Spirit,Spell,Permanent,2s,,,You can pay the elemental mana costs of creatures with [Any].
243,Enthrall,Spirit,Spell,Permanent,,,,"Your creatures have ""cannot be targeted by attacks""."
244,Seal World Line,Spirit,Spell,Permanent,,,,"<Search> for a card. Do not reveal it, and place it face-down under this card. When this is destroyed, add the saved card to your hand."
245,Haunted Wine Glass,Spirit,Item,Permanent,,,,At the start of your turn you may destroy this to summon a [Spirit] creature with cost 0 from your hand. Give it <ready>.
246,Peek,Spirit,Item,,,,,"Reveal the top card of your opponent's deck. If it's a spell, draw a card."
247,Spell Scroll,Spirit,Item,,,,,<Search> for a spell. Replace it with this card.
248,Smudge Stick,Spirit,Item,,2r,,,Destroy all tokens.
249,Ethereal Dagger,Spirit,Item,Equipment,,1,0,"Equip to a friendly creature. It gains +1 / +0 and ""can attack creatures with <ethereal>""."
250,Cow,Earth,Token,,,1,1,Moo.
